Afghanistan,4.33,3.7,6.46,6.73,7.19,11.47,13.71,15.22,17.55,25.85,35.84,10.24,4.07,7.23,4.05,3.3,3.45,7.51,9.25,12.25,19.9,42.78,50.54,56.46,62.8,69.65,74.65,91.35,93.34,91.38,100,110.56,119.74,124.39,125.13,128.17,134.74,141.3
Albania,2.65,2.59,2.59,2.59,2.59,2.6,2.54,2.54,2.54,2.54,2.53,3.5,12.24,26.3,36.41,38.44,54.3,60.87,66,67.01,69.68,72,73.74,77.7,79.53,81.62,83.82,86.82,93.44,95.7,100,102.31,103.37,103.67,105.28,105.87,105.36,106.81
Algeria,3.12,3.57,3.64,3.88,4.21,4.42,4.53,4.93,5.37,6.24,8.12,12.49,15.23,17.31,22.34,28.72,35.62,38.11,36.92,40.93,50.2,49.96,50.61,54.83,61.54,71.46,79.01,84.09,97,86.15,100,118.24,127.09,127.01,126.64,118.32,119.37,127.49
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.07,0.1,0.68,3.53,7.28,17.67,32.88,46.23,57.35,65.78,73.72,88.23,81.68,100,124.14,131.25,136.18,134.39,129.04,164.75,216.05
Antigua Barbuda,33.37,36.15,40.23,42.31,43.94,47.19,51.03,55.56,62.43,65.29,66.37,68.1,69.77,71.04,73.34,75.1,77.34,78.75,80.42,81.62,82.89,84.12,84.71,83.9,85.27,89.08,89.44,92.78,96.85,98.58,100,101.2,103.71,102.23,104.38,106.95,108.61,110.31
Argentina,0,0,0,0,0,0,0,0,0.01,0.42,9.04,21.05,23.56,23.22,23.88,24.64,24.62,24.51,24.09,23.65,23.89,23.63,30.85,34.09,40.35,44.51,50.63,58.2,71.68,82.7,100,123.7,151.31,187.54,263.09,333.02,466.48,584.73
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.38,15.94,41.63,49.79,58.62,64.89,64.92,64.03,66.63,68.21,71.32,75.83,78.28,81.9,85.36,90.48,92.79,100,104.28,109.86,113.55,116.18,117.59,117.9,120.53
Australia,26.93,29.49,32.95,36.29,39.15,40.96,43.59,46.7,50.11,54.74,58.08,59.84,60.71,61.24,61.87,63.28,64.98,65.79,66.62,66.86,68.58,71.75,73.81,76.1,78.62,81.61,85.76,90.06,94.14,98.85,100,106.26,108.25,108.08,109.64,108.84,108.34,112.35
Austria,49.05,52.34,55.14,57.06,59.88,61.66,63.48,65.02,66.02,67.98,70.01,72.56,75.09,77.16,79.11,80.54,81.34,82.37,82.73,82.94,84.07,85.71,86.69,87.83,89.35,91.62,93.36,95.43,97.3,99.13,100,101.83,103.93,105.61,107.7,110.2,111.4,113.13
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.3,4.41,28.44,35.96,39.28,38.9,39.74,44.71,45.83,47.26,50.1,54.27,63.03,70.15,84.87,108.43,87.91,100,122.57,126.06,126.63,125.93,114.78,131.61,152.61
Bahamas,23.75,27.95,28.98,30.71,31.69,34.37,35.97,38.34,38.91,39.61,41.62,42.69,44.35,43.98,44.94,45.3,45.74,78.64,81.04,85.05,85.83,86.14,89.55,90.58,91.66,96.3,97.1,99.96,101.45,100.39,100,99.14,102.38,101.91,105.23,112.08,114.45,115.91
Bahrain,40.4,48.04,54.63,52.62,52.4,51.44,42.49,42.77,43.63,45.37,47.56,46.66,45.01,43.65,46.85,47.36,47.45,47.9,44.52,45.7,59.4,57.41,59.45,64.47,71.56,81.39,88.58,96.06,106.97,93.07,100,109.74,113.04,113.48,111.58,101.13,101.21,106.98
Bangladesh,14.18,15.58,17.12,18.57,20.03,23.74,25.69,28.55,30.69,33.25,35.42,36.39,37.33,37.39,38.87,41.65,49.62,51.51,53.95,55.98,57.91,59.8,62.13,65.74,68.74,71.9,76.12,81.05,87.42,93.33,100,107.86,116.67,125.04,132.12,139.88,149.3,158.67
Barbados,30.76,34.51,37.92,40.06,42.14,43.63,45.58,48.92,50.27,53.66,55.7,57.49,59.75,62.28,63.08,65.02,66.67,67.3,73.18,76.38,76.94,78.71,79.41,80.28,84.96,90.59,93.39,97.73,99.43,99.68,100,103.74,103.33,102.36,102.26,100.82,97.65,101.73
