,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
0,UEI-DFO-FL-1985-0001,19850623,19850627,4.0,Heavy rain,,,,14.5398,75.0937,1.0,254234.6,95,,25000.0,,,,DFO,27
1,UEI-DFO-FL-1985-0002,19850718,19850730,12.0,Heavy rain,,,,32.8353,76.9103,1.0,117441.17,340,,20000.0,,,,DFO,33
2,UEI-DFO-FL-1985-0003,19850913,19851015,32.0,Heavy rain,,,,26.4816,82.8434,2.0,89994.67,557,,152000.0,,,,DFO,53
3,UEI-DFO-FL-1985-0004,19851018,19851020,2.0,Tropical cyclone,,,,21.1495,86.7154,2.0,46758.64,49,,150000.0,,,,DFO,61
4,UEI-DFO-FL-1986-0001,19860615,19860820,66.0,Monsoonal rain,,,,25.6339,84.0726,1.0,507167.44,258,,3040000.0,,,,DFO,93
5,UEI-DFO-FL-1986-0002,19860815,19860822,7.0,Monsoonal rain,,,,17.4331,80.187,1.0,107355.33,150,,3000000.0,,,,DFO,98
6,UEI-DFO-FL-1986-0003,19860922,19861010,18.0,Heavy rain,,,,23.6547,89.4296,1.0,231516.28,49,,700000.0,,,,DFO,106
7,UEI-DFO-FL-1988-0001,19880523,19881106,167.0,Monsoonal rain,,,,26.4813,92.0622,1.0,42285.99,76,,43000.0,,,,DFO,180
8,UEI-DFO-FL-1988-0002,19880621,19880714,23.0,Heavy rain,,,,26.988000000000003,92.926,1.0,70501.83,34,,2000000.0,,,,DFO,190
9,UEI-DFO-FL-1988-0003,19880407,19880808,123.0,Monsoonal rain,,,,28.886,80.7246,2.0,847737.26,233,,500000.0,,,,DFO,196
10,UEI-DFO-FL-1988-0004,19880714,19880727,13.0,Heavy rain,,,,22.0189,71.1117,1.0,76352.55,97,,25000.0,,,,DFO,203
11,UEI-DFO-FL-1988-0005,19880731,19880208,,Heavy rain,,,,18.4311,80.71300000000001,1.0,94871.79,50,,0.0,,,,DFO,214
12,UEI-DFO-FL-1988-0006,19880823,19880915,23.0,Monsoonal rain,,,,26.5037,86.5429,1.0,626872.46,876,,2000.0,,,,DFO,228
13,UEI-DFO-FL-1988-0007,19880921,19880810,,Heavy rain,,,,30.9339,75.0459,2.0,268528.55,731,,1250000.0,,,,DFO,253
14,UEI-DFO-FL-1988-0008,19880310,19880410,31.0,Heavy rain,,,,19.1131,72.8962,1.0,605.2130000000001,23,,0.0,,,,DFO,255
15,UEI-DFO-FL-1989-0001,19890722,19890731,9.0,Monsoonal rain,,,,15.1816,76.4736,1.0,905209.24,780,,0.0,,,,DFO,330
16,UEI-DFO-FL-1989-0002,19890507,19891008,154.0,Monsoonal rain,,,,24.8678,92.8291,2.0,112816.35,31,,32000.0,,,,DFO,334
