,id,obtime,category,description,description_id,lon,lat
0,211800,2013-04-24T19:12:00Z,Flood,"Homes, buildings or vehicles swept away",43,-97.44061,35.18193
1,211801,2013-04-24T19:12:00Z,Flood,Homes or buildings filled with water,42,-97.44061,35.18193
2,211798,2013-04-24T19:12:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-97.44061,35.18193
3,211799,2013-04-24T19:12:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-97.44061,35.18193
4,211807,2013-04-24T19:16:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-10.0,10.0
5,212372,2013-04-25T19:40:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-97.4403456,35.1817104
6,215320,2013-04-30T00:48:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-81.33396243,28.70045455
7,216136,2013-04-30T22:42:00Z,Flood,Homes or buildings filled with water,42,-91.7773158,42.101231
8,216465,2013-05-01T09:10:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-89.89171127,45.97452775
9,218093,2013-05-02T13:51:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-88.07236184,30.681690853
10,218538,2013-05-02T16:38:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-87.53123,38.67193
11,218621,2013-05-02T17:18:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-80.07475,26.41505
12,219026,2013-05-02T19:35:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-80.30945,25.93208
13,219946,2013-05-03T00:45:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-80.12115,26.18291
14,221226,2013-05-03T18:14:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-90.47195892,35.27087264
15,221377,2013-05-03T19:43:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-80.3661684,25.5488984
16,221583,2013-05-03T21:44:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-81.29222,29.91196
17,221637,2013-05-03T22:13:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-90.29943,37.54063
18,221864,2013-05-04T00:26:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-89.58442,39.80438
19,222245,2013-05-04T12:03:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-87.65002,34.83116
20,222696,2013-05-04T17:38:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70494403000001,34.72969188
21,222757,2013-05-04T18:53:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70495489,34.72980406
22,222800,2013-05-04T19:52:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70488147,34.7297894
23,222816,2013-05-04T20:12:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-85.3401,35.14725
24,223052,2013-05-04T23:49:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70096416,34.7282158
25,223429,2013-05-05T13:36:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-87.53113,38.67183
26,223439,2013-05-05T13:43:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-82.2272608,34.674967466
27,223455,2013-05-05T14:03:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-82.75787,35.48746
28,223871,2013-05-05T20:51:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-81.65806,36.19838
29,224191,2013-05-06T02:32:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-81.72942459,35.279020071
30,224189,2013-05-06T02:32:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-81.72942459,35.279020071
31,224192,2013-05-06T02:32:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-81.72942459,35.279020071
32,224190,2013-05-06T02:32:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-81.72942459,35.279020071
33,224193,2013-05-06T02:38:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-81.72944068,35.279003977
34,224242,2013-05-06T03:47:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-82.7581,35.48778
35,224270,2013-05-06T05:04:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-80.03205,37.25897
36,224280,2013-05-06T05:48:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-81.19872917000001,35.25033705
37,224278,2013-05-06T05:50:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-81.19873869,35.25034384
38,224763,2013-05-06T18:23:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-78.67615,35.78406
39,224901,2013-05-06T21:10:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70096449,34.7286608
40,224971,2013-05-06T22:01:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70510717,34.72984876
41,225029,2013-05-06T22:41:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-81.03692,35.38754
42,225099,2013-05-06T23:43:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-83.38438,37.1703
43,225108,2013-05-06T23:50:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-86.70503367,34.72970981
44,225212,2013-05-07T01:25:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-94.79159,47.16517
45,225274,2013-05-07T02:32:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-119.1296857,35.3465666
46,225387,2013-05-07T06:11:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-80.03205,37.25897
47,226160,2013-05-07T22:40:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-77.50469,37.64603
48,226190,2013-05-07T23:04:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-77.50469,37.64601
49,226496,2013-05-08T04:26:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-78.6161463,38.4779851
50,226586,2013-05-08T10:18:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-75.84658,40.22886
51,226692,2013-05-08T12:17:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-74.17001733,40.7191989
52,226729,2013-05-08T12:50:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-73.94925114,40.69530998
53,226781,2013-05-08T14:00:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-85.49558,34.85856
54,227028,2013-05-08T18:15:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-94.48215,37.09278
55,227219,2013-05-08T20:24:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-78.64298,38.75161
56,227474,2013-05-08T22:29:00Z,Flood,Street/road flooding; Street/road closed; Vehicles stranded,41,-76.95197,40.53994
57,227940,2013-05-09T02:27:00Z,Flood,River/Creek overflowing; Cropland/Yard/Basement Flooding,40,-97.43964,35.18261
